school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,,image,url,wrong_answer
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,A first-occurrence urinary tract infection is diagnosed in a 4-year-old female. Which of the following statements is true?,A first-occurrence UTI is unusual at this age.,This child should be evaluated for constipation.,This likely indicates an underlying problem.,The most likely causative organism is E. coli.,,,,D,E. coli is the most common uropathogen in children as well as adults. UTIs are not unusual at age 4; constipation may be a risk factor but not an absolute evaluation requirement; underlying anomalies are less likely with first UTI at this age.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,"A recently divorced 29-year-old male reports poor appetite, low-grade fever, and malaise. His ALT is 650 U/L; AST is 250 U/L. Normal ranges: ALT 0-48, AST 0-42. This patient's lab results are most likely suggestive of:",chronic hepatitis.,acute viral hepatitis.,acetaminophen toxicity.,alcoholic hepatitis.,,,,B,Markedly elevated ALT (>10-15x upper limit) with AST > ALT suggests acute viral hepatitis. Chronic hepatitis has lower elevations; acetaminophen toxicity typically has very high AST/ALT; alcoholic hepatitis has AST:ALT >2:1.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,"A 55-year-old male has decided, through shared decision making with the NP, to be screened for prostate cancer. The preferred method of screening is:",digital rectal examination (DRE) plus prostate-specific antigen (PSA) measurement.,serum PSA measurement.,digital rectal exam.,PSA measurement and transrectal ultrasound (TRUS).,,,,B,"PSA alone is the preferred initial screening test per USPSTF and AUA. DRE adds little sensitivity when PSA is normal. TRUS is diagnostic, not screening.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,The NP advises a 49-year-old patient with hypothyroidism that the best exercise to decrease the risk of osteoporosis is:,swimming.,biking.,walking.,yoga.,,,,C,"Weight-bearing exercises (walking, jogging, weight training) are most effective for bone density. Swimming and biking are non-weight-bearing; yoga improves flexibility but less impact on bone density.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,"When evaluating a patient with depression and suicidal ideation, the NP knows that the patient who is most likely to successfully commit suicide is:",a 25-year-old Hispanic female.,a 30-year-old White female.,a 45-year-old Asian male.,an 80-year-old White male.,,,,D,"Elderly white males have the highest suicide completion rate. Risk factors include male gender, older age, white race, depression, social isolation, physical illness.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,The CBC for a 48-year-old obese male with symptoms of obstructive sleep apnea shows elevated red blood cells. The best course of action is to order a sleep study and:,a daily multivitamin with iron.,daily low-dose aspirin.,melatonin before bed.,vitamin B12.,,,,B,Elevated RBCs in OSA suggest secondary erythrocytosis due to chronic hypoxia. Low-dose aspirin reduces thrombotic risk. Iron and B12 are for deficiency; melatonin not indicated.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,A grade school principal reports being exposed to a student with pertussis. The principal is currently asymptomatic. The best course of action is to:,monitor for symptom development.,initiate a cephalosporin prophylactically.,treat prophylactically with a macrolide.,initiate a fluoroquinolone within 72 hours of exposure.,,,,C,Post-exposure prophylaxis for pertussis is with a macrolide (azithromycin) within 21 days of exposure. Cephalosporins and fluoroquinolones are not effective for Bordetella pertussis.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,A patient reports he was diagnosed with hepatitis B infection 1 year ago and has not seen a healthcare provider since then. What information should this patient receive at this time?,Hepatitis B is a self-limiting viral infection and is infrequently associated with chronic disease.,Hepatitis B is associated with the development of hepatocellular carcinoma.,Hepatitis B vaccine is recommended to prevent the damaging effects of chronic infection.,No known treatment will normalize liver functions and improve liver histology.,,,,B,"Chronic hepatitis B increases risk of hepatocellular carcinoma. It is not self-limiting in all; vaccine is preventive, not therapeutic; antiviral treatments exist.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,Chlamydia was diagnosed in a 23-year-old patient who is not pregnant. The recommended treatment is:,levofloxacin for 5 days.,doxycycline for 7 days.,azithromycin 500 mg plus ceftriaxone 500 mg x1 dose.,(option D not visible in image),,,,B,CDC recommends doxycycline 100 mg BID x7 days for chlamydia. Azithromycin 1g single dose is alternative. Ceftriaxone is for gonorrhea co-treatment.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,Screening for type 2 diabetes in a child with BMI in the 85th percentile and at least one other T2DM risk factor should occur at minimum:,every other year starting at age 5 years.,every other year beginning at age 8 years.,yearly beginning at age 8 years.,every 3 years beginning at age 10 years.,,,,A,"ADA recommends screening overweight/obese children with additional risk factors starting at age 10 or at onset of puberty, then every 3 years. Starting at age 5 is incorrect; yearly is too frequent.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,"A unique provider identification number is required for all healthcare providers, established by HIPAA Administrative Simplification Standard. The term for this number is:",Medicare standard number.,national provider identifier.,certification number.,state licensure number.,,,,B,National Provider Identifier (NPI) is the unique 10-digit number required by HIPAA for all healthcare providers. It is standard across all payers.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,"An otherwise healthy 12-year-old had elevated BP 2 weeks ago and now remains elevated, diagnosed with prehypertension. The MOST appropriate intervention is:","order a CBC, serum chemistries, and urinalysis.",initiate lifestyle changes.,prescribe an ACE inhibitor.,prescribe potassium supplementation.,,,,B,"For prehypertension in children, lifestyle modifications (diet, exercise, weight management) are first-line. Medications not indicated. Diagnostic workup may be considered but not first step.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,A 53-year-old male with BPH takes sildenafil for erectile dysfunction. The medication that is LEAST likely to interact with Viagra is:,tamsulosin.,finasteride.,alfuzosin.,doxazosin.,,,,B,"Finasteride (5-alpha reductase inhibitor) does not cause hypotension and has no significant interaction with sildenafil. Alpha-blockers (tamsulosin, alfuzosin, doxazosin) can cause additive hypotensive effects.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,"A 67-year-old male has a 20 pack-year smoking history, quit 7 years ago. To screen for abdominal aortic aneurysm, the NP should order:",aortography.,an abdominal ultrasound.,"a CT of the abdomen, including renal arteries.",a transesophageal echocardiogram.,,,,B,USPSTF recommends one-time abdominal ultrasound screening for AAA in men aged 65-75 with smoking history. CT is more expensive with radiation; aortography is invasive.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,A 21-year-old female is suspected to have trichomoniasis. The most sensitive diagnostic test for detecting Trichomonas vaginalis in females is:,wet prep.,a rapid antigen test.,vaginal culture.,nucleic acid amplification test.,,,,D,NAAT is the most sensitive test for trichomoniasis. Wet prep sensitivity ~50-70%; culture is sensitive but slower; rapid antigen less sensitive than NAAT.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,"Loud, hollow, high-pitched sounds heard anteriorly over the manubrium and posteriorly between C7 and T3 vertebrae is termed:",bronchial breath sounds.,abnormal breath sounds.,bronchovesicular breath sounds.,vesicular breath sounds.,,,,A,"Bronchial breath sounds are loud, hollow, high-pitched, heard over trachea and main bronchi (manubrium, C7-T3). Bronchovesicular are medium-pitched; vesicular are soft/low-pitched.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,A 22-year-old college student presents with cough for about 6 weeks. Which diagnosis would be in the differential list?,Pneumonia,Upper respiratory infection,Acute bronchitis,Asthma,,,,D,"Chronic cough (>4 weeks) differential includes asthma, post-nasal drip, GERD, and pertussis. Pneumonia, URI, acute bronchitis typically resolve within 3 weeks.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,A 16-year-old patient with mild inflammatory facial acne seeks treatment. The NP should prescribe:,a topical antibiotic as monotherapy.,topical benzoyl peroxide combined with a systemic antibiotic.,a systemic antibiotic alone.,combination therapy with a topical retinoid and an antimicrobial.,,,,D,First-line for mild inflammatory acne: combination of topical retinoid + topical antimicrobial (benzoyl peroxide or antibiotic). Systemic antibiotics reserved for moderate-severe or refractory cases.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,A 41-year-old patient takes buspirone for anxiety but reports 3 panic attacks in the last week. The most appropriate class for short-term treatment of anxiety in this patient is:,tricyclic antidepressants.,selective serotonin reuptake inhibitors.,benzodiazepines.,beta blockers.,,,,C,Benzodiazepines are indicated for short-term management of acute panic attacks/breakthrough anxiety. SSRIs/TCAs are first-line for maintenance but not acute relief. Beta-blockers for performance anxiety.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,A 50-year-old male reports several episodes of vomiting blood. Comorbid conditions that may lead to upper GI bleeding include:,gastroesophageal reflux without esophagitis.,Crohn's disease.,nonalcoholic cirrhosis of the liver.,microcytic anemia.,,,,C,"Cirrhosis (non-alcoholic or alcoholic) can cause portal hypertension, leading to esophageal varices and upper GI bleeding. GERD without esophagitis rarely causes bleeding; Crohn's affects lower GI; microcytic anemia is a consequence, not cause.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,Cigarette smoking while breastfeeding is associated with an increased risk of infant:,reflux,failure to thrive,galactosemia,respiratory allergy,,,,B,"Smoking during breastfeeding is associated with increased risk of infant respiratory infections, wheezing, and SIDS. Not specifically reflux, failure to thrive, galactosemia, or allergy as the primary association.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,"A 30-year-old patient presents with generalized hyperpigmentation on both forearms and both knees. The patient states that she has been experiencing progressive weakness, fatigue, recent weight loss, salt craving, and intermittent episodes of dizziness. The physical exam reveals hypotension, an absence of axillary and pubic hair, and several hyperpigmented areas over the extremities. The MOST likely diagnosis is:",sarcoidosis,Cushing's syndrome,Addison's disease,hypothyroidism,,,,C,"Addison's disease (primary adrenal insufficiency) presents with hyperpigmentation, fatigue, weight loss, salt craving, hypotension, and loss of axillary/pubic hair. Cushing's has hypercortisolism; hypothyroidism doesn't cause hyperpigmentation.",regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,"A 60-year-old patient with a history of rheumatic fever presents with complaints of dyspnea. While the patient is lying on their left side and holding their breath, the nurse practitioner auscultates a low-pitched diastolic murmur over the apex. This is most likely:",pulmonary stenosis,mitral valve prolapse,mitral stenosis,aortic stenosis,,,,C,Rheumatic fever history + low-pitched diastolic murmur at apex (with patient in left lateral decubitus) is classic for mitral stenosis. Pulmonary stenosis is systolic; mitral prolapse is mid-systolic click; aortic stenosis is systolic at right 2nd ICS.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,"A 78-year-old female is accompanied by her adult child, who reports that her mother has become forgetful. The nurse practitioner should consider mild dementia if the patient has difficulty remembering:",the name of her spouse,whether she took her daily medications,her birthday,how to start her car,,,,B,Forgetfulness interfering with daily activities (medication adherence) suggests mild cognitive impairment/dementia. Forgetting spouse's name or birthday suggests more advanced disease; forgetting how to start car indicates significant functional impairment.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,A 37-year-old female patient is pregnant for the first time. The most appropriate time for amniocentesis to be performed on a pregnant female patient is:,at 11 weeks' gestation,between 15 and 20 weeks' gestation,between 24 and 28 weeks' gestation,after 28 weeks' gestation,,,,B,Amniocentesis is typically performed between 15-20 weeks for genetic testing. Earlier (11-14 weeks) carries higher risk; later for lung maturity assessment.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,"An urgent call is received from a patient's spouse, who states that their husband is having chest pain that is unrelieved by three nitroglycerin tablets. The nearest hospital is 40 minutes away. Besides having the patient reach the hospital as soon as possible, what intervention can the nurse practitioner suggest to increase the chances of a positive outcome?",Have the patient chew an aspirin on the way to the hospital.,Have the patient take nitroglycerin every 5 minutes until he reaches the hospital.,"Ask the patient's wife, a nurse, to check his blood pressure and call you with the results.",Tell the patient not to take any more nitroglycerin for 15 minutes.,,,,A,Aspirin 324 mg chewed as soon as possible in suspected MI reduces mortality. Continuing NTG beyond 3 doses without BP monitoring is unsafe; delaying care for BP check is not recommended.,regular,,,,
Family Nurse Practitioner,AANP Family Nurse Practitioner Exam,,"When considering a diagnosis of chronic kidney disease in a 65-year-old female, the criteria that is NOT considered diagnostic is:",decreased glomerular filtration rate (GFR) in a steady state,identification of the underlying cause,decreased kidney function for at least 3 months,increased serum creatinine and urea,,,,B,CKD is defined by GFR <60 mL/min or markers of kidney damage for ≥3 months. Identification of underlying cause is desirable but not required for diagnosis. Increased creatinine/urea alone is not specific.,regular,,,,
