school,exam,extract,question,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,choiceG,correct_answer,rationale,question_type,image,url,wrong_asnwer
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following medications should be dispensed in its original manufacturer packaging?,Nitroglycerin (Nitrostat),Fluoxetine (Prozac),Progesterone (Crinone),Escitalopram (Lexapro),,,,A,Sublingual nitroglycerin tablets are unstable when exposed to air and must remain in the original glass bottle with the original cotton to maintain potency.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,"According to federal regulations, which of the following is true regarding an emergency prescription for a Schedule II medication?","A written, signed prescription must be received by the pharmacy no later than 7 days after the fill.",The amount of medication dispensed cannot exceed 14 doses.,The amount of medication dispensed cannot exceed a 7-day supply.,"A faxed, signed prescription must be received by the pharmacy no later than 14 days after the fill.",,,,A,"In a declared emergency, a pharmacy may dispense a Schedule II drug based on an oral order, but the prescriber must provide a written, signed prescription within 7 days.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following describes the purpose of an antihistamine?,Reduces hypertension,Reduces runny nose and sneezing,Reduces joint inflammation,Reduces fever,,,,B,"Antihistamines block histamine receptors and are used to relieve allergic symptoms such as runny nose, sneezing, and itching.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following federal agencies is tasked with creating and maintaining a safe working environment when dealing with chemotherapy medications?,FDA,CDC,OSHA,DEA,,,,C,"OSHA sets and enforces standards for handling hazardous drugs, including chemotherapy agents, under its Hazardous Drugs standard (NIOSH list).",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,"According to USP <797>, which of the following is the minimum length of time a pharmacy technician should scrub their hands prior to sterile compounding?",15 seconds,30 seconds,45 seconds,60 seconds,,,,B,USP <797> requires a minimum 30-second surgical hand scrub with an antimicrobial soap before donning sterile gloves for compounding sterile preparations.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following medications is used to treat motion sickness?,Loratadine (Claritin),Dimenhydrinate (Dramamine),Guaifenesin (Mucinex),Oxymetazoline (Afrin),,,,B,Dimenhydrinate (Dramamine) is an antihistamine with anticholinergic properties effective for preventing and treating motion sickness.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,"According to federal law, a Schedule V Sales Record requires which of the following?",Prescription number,Address of the purchaser,Quantity of medication remaining in stock,DEA number,,,,B,"For OTC sales of Schedule V drugs (e.g., certain cough syrups with codeine), the pharmacy must record the purchaser's name, address, drug name, quantity, date, and pharmacist initials.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following is the percentage of sodium chloride in a normal saline solution?,0.09%,0.45%,0.90%,9%,,,,C,"Normal saline (0.9% NaCl) contains 0.9 grams of sodium chloride per 100 mL, making it isotonic with blood.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following is a piece of information indicated by the NDC number?,The average wholesale price (AWP),The expiration date,The lot number,The package size,,,,D,"The NDC number is an 11-digit code identifying the manufacturer (5 digits), drug product (4 digits), and package size (2 digits).",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,For which of the following reasons is it necessary to obtain a patient's date of birth?,To verify the dosage form,To determine the route of administration,To determine whether the patient should receive child-resistant containers,To verify third-party coverage,,,,C,Date of birth is required to confirm patient identity for insurance billing and to determine eligibility for non-child-resistant containers (patients 18 and older may waive them).,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following medications is exempt from being dispensed in a child-resistant container?,Digoxin,Zocor,Oral contraceptive packs,All prescriptions must be dispensed in child-resistant containers,,,,C,Oral contraceptives are specifically exempted from the PPPA child-resistant packaging requirement because the risk of child poisoning is low compared to the need for easy access.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,A patient receives cefdinir (Omnicef) 250 mg/5 mL and is to receive 125 mg tid for 10 days. How many mg of cefdinir (Omnicef) will the patient receive daily?,375 mg,750 mg,500 mg,625 mg,,,,A,125 mg three times daily (tid) = 125 mg x 3 = 375 mg per day.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,A health system pharmacy is consistently removing large amounts of expired medications from a floor stock system. Which of the following actions should the pharmacy technician take to reduce waste?,Maintain stock levels per the data sheet.,Report waste to the FDA.,Reduce level of the drug stock.,Consult with the unit charge nurse.,,,,C,Lowering par levels and stocking only what is routinely used reduces overstocking and expiration waste.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following is used to reduce errors associated with look-alike medication names?,All uppercase letters,All lowercase letters,Tall Man lettering,Italicized lettering,,,,C,"Tall Man (mixed case) lettering (e.g., hydrOXYzine vs. hydrALAZINE) helps distinguish sound-alike/look-alike drug names.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,"A pharmacy technician should identify that which of the following labels are used to provide additional information, warnings, and reminders about a patient's medication?",Auxiliary,Prescription,Product,Manufacturer,,,,A,"Auxiliary labels provide supplemental instructions and warnings (e.g., 'Take with food,' 'May cause drowsiness').",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following USP-NF chapters regulates nonsterile compounding?,USP-NF 795,USP-NF 797,USP-NF 800,USP-NF 825,,,,A,"USP Chapter <795> provides standards for nonsterile compounding (oral liquids, creams, capsules, etc.).",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following medications is used to treat hyperlipidemia?,Atorvastatin (Lipitor),Cetirizine (Zyrtec),Gabapentin (Neurontin),Ketorolac (Toradol),,,,A,Atorvastatin is a statin used to lower LDL cholesterol and treat hyperlipidemia.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,A drug formulary is designed to save money by mandating the use of which of the following?,A mail order company,A preferred list of medications,A primary physician,Clinical pharmacists,,,,B,"A formulary is a list of preferred medications chosen for efficacy, safety, and cost-effectiveness to control drug spending.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which of the following procedure sources should be used when responding to a robbery?,OSHA manual,Policy and procedure manual,DEA policy manual,Alarm system manual,,,,B,"Pharmacy robbery response procedures are outlined in the store's policy and procedure manual, including not resisting and activating silent alarms.",Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,A pharmacy technician should identify which of the following examples as the correct use of Tall Man lettering?,DoBUTamine and DOPamine,EpinephRINE and EpheDRINE,PREDNISone and PREDNISolone,BuPROPion and BusPIRone,,,,A,Correct Tall Man lettering emphasizes distinguishing parts of look-alike names: DOBUTamine vs. DOPamine is an ISMP-recommended example.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,Which federal act states that all oral prescriptions should be dispensed in child-resistant containers unless patients or prescribers request otherwise?,Omnibus Budget Reconciliation Act of 1990 (OBRA '90),Health Insurance Portability and Accountability Act (HIPAA),Poison Prevention Packaging Act (PPPA),"Federal Food, Drug, and Cosmetic Act",,,,C,The Poison Prevention Packaging Act (PPPA) requires child-resistant packaging for most prescription drugs unless the patient or prescriber requests non-child-resistant containers.,Regular,,,
Pharmacy Technician,ExCPT pharmacy technician exam,,"A laminar flow hood has been turned off, which of the following is the minimum amount of time the hood should be run before its next use?",15 min,30 min,60 min,45 min,,,,B,USP <797> requires that a laminar flow hood be run for at least 30 minutes before use to clear particulates and establish proper airflow.,Regular,,,
Pharmacy Technician,ExCPT exam practice questions,,"According to federal law, a prescription for a Schedule IV medication is valid for how long after the original prescription date?",1 month,3 months,6 months,12 months,,,,C,Schedule III-V prescriptions may have refills up to 6 months from the date written (maximum 5 refills).,Regular,,,
Pharmacy Technician,ExCPT exam practice questions,,A pharmacy technician should report an incident of a medication error to which of the following government agencies?,Center for Medicare and Medicaid Services (CMS),Drug Enforcement Agency (DEA),Food and Drug Administration (FDA),Center for Disease Control and Prevention (CDC),,,,C,Medication errors involving FDA-approved drugs should be reported through the FDA MedWatch program.,Regular,,,
Pharmacy Technician,ExCPT exam practice questions,,A pharmacy technician should check an IV-compounded solution for which of the following characteristics?,Sterility,Particulates,Tonicity,pH,,,,B,"Visual inspection for particulates, clarity, and leaks is required before releasing a compounded sterile preparation.",Regular,,,
Pharmacy Technician,ExCPT exam practice questions,,"Using 1 kg of a bulk ingredient, a pharmacy technician can compound how many 200 mg doses?","2,000","5,000","20,000","50,000",,,,B,"1 kg = 1,000 g = 1,000,000 mg. 1,000,000 mg / 200 mg/dose = 5,000 doses.",Regular,,,
Pharmacy Technician,ExCPT exam practice questions,,Which of the following amounts is equal to 1 fl oz?,2 tsp,3 tsp,1 tbsp,2 tbsp,,,,D,1 fluid ounce = 30 mL = 2 tablespoons = 6 teaspoons.,Regular,,,
Pharmacy Technician,ExCPT exam practice questions,,Which of the following is printed on all pharmacy stock bottles?,Brand name,Generic name,Indications,Directions for use,,,,B,"Stock bottles must display the established (generic) name, strength, manufacturer, and NDC number.",Regular,,,
Pharmacy Technician,ExCPT exam practice questions,,A pharmacy technician should identify that Medicare Part D will cover which of the following items?,Lab test,Insulin,Knee braces,Over-the-counter medication,,,,B,"Medicare Part D covers outpatient prescription drugs, including insulin (but not syringes unless bundled under certain plans).",Regular,,,
